OGC_FID,GEOMETRY,pk,pkuid,incident_no,day,time_on_twitter,projected_start,event_end,full_tweet,category,projected_start_prj,event_end_prj,true_event_start,true_event_end,xcoord,ycoord,event_time,event_duration
50,,50,50,54,2016-01-06,09:30,09:30,10:21,"Crash on M5 south at Berkley. Centre lane closed, expect delays.",traffic,1,,11:30,12:21,18.479345,-33.928761,423750.4792,00:51
51,,51,51,55,2016-01-06,13:14,13:14,15:14,Traffic lights at Vryburger Ave - Botma St in Bothasig are flashing. The department is attending.,traffic,1,1,15:14,17:14,18.533851,-33.867055,423750.6347,02:00
52,,52,52,56,2016-01-06,13:27,13:27,15:27,Traffic lights at Eisleben - White Heart Lane in Weltevreden Valley are flashing. The department is attending.,traffic,1,1,15:27,17:27,18.594515,-34.018239,423750.6438,02:00
53,,53,53,57,2016-01-06,13:48,13:48,15:48,Traffic lights at Brackenfell Blvd - Bottelary Rd in Brackenfell are flashing. The department is attending.,traffic,1,1,15:48,17:48,18.697116,-33.904549,423750.6583,02:00
54,,54,54,58,2016-01-06,16:43,14:43,16:43,Stationary vehicle on the N2 inbound before Jakes Gerwel Dr.,traffic,,,16:43,18:43,18.549088,-33.957911,423750.6965,02:00
55,,55,55,59,2016-01-07,04:08,04:08,07:05,Traffic lights at R300-Hindle in Delft are flashing. The department is attending to this.,traffic,1,,06:08,09:05,18.652514,-33.978433,423760.2556,02:57
56,,56,56,60,2016-01-07,04:10,04:10,07:03,Traffic lights at Spine-Church in Strandfontein are flashing. The department is attending to this.,traffic,1,,06:10,09:03,18.571235,-34.073474,423760.2569,02:53
57,,57,57,61,2016-01-07,04:12,04:12,06:03,Traffic lights at Beach-Three Anchor Bay are flashing. The department is attending to this.,traffic,1,,06:12,08:03,18.397043,-33.907006,423760.2583,01:51
58,,58,58,62,2016-01-07,04:23,04:23,07:04,Traffic lights at Duinefontein-Ascension in Heideveld are flashing. The department is attending to this.,traffic,1,,06:23,09:04,18.556539,-33.966316,423760.266,02:41
59,,59,59,63,2016-01-07,04:32,04:32,05:27,"Crash on N1 inbound before Plattekloof. Two lanes closed, expect delays.",traffic,1,,06:32,07:27,18.590966,-33.884788,423760.2722,00:55
60,,60,60,64,2016-01-07,06:18,06:18,08:18,There is an electrical fault affecting the Scarborough area ( Pine Haven ) as of yesterday. The department is attending to this.,electric,1,1,08:18,10:18,18.37745,-34.19876,423760.3458,02:00
61,,61,61,65,2016-01-07,06:19,06:00,08:00,There is an electrical fault affecting the Phillippi area ( Vredelust Farm & Vicinity ) as of 08:00. The department is attending to this.,traffic,,1,08:00,10:00,18.560259,-34.052162,423760.3333,02:00
62,,62,62,66,2016-01-07,07:24,06:50,08:50,There is an electrical fault in the Green Point area ( Wigtown;Haytor;Daysart;Torbay;Sydney & Vicinity) as of 08:50. We Are attending.,electric,,1,08:50,10:50,18.40594,-33.905352,423760.3681,02:00
63,,63,63,67,2016-01-07,07:26,07:00,09:00,There is an electrical fault in the Sea Point area ( Milton & Vicinity) as of 09:00. We Are attending.,electric,,1,09:00,11:00,18.408406,-33.906434,423760.375,02:00
64,,64,64,68,2016-01-07,09:15,09:15,10:26,Traffic lights at Adderley-Longmarket in the CBD are flashing. The department is attending to this.,traffic,1,,11:15,12:26,18.421223,-33.923962,423760.4688,01:11
65,,65,65,69,2016-01-07,09:50,09:50,11:50,Traffic lights at Main-Dido Valley in Simon?s Town are flashing. The department is attending to this.,traffic,1,1,11:50,13:50,18.427873,-34.172699,423760.4931,02:00
66,,66,66,70,2016-01-07,14:43,12:43,14:43,A Truck has lost a load of glass on Ou Kaapse Weg north at the Noordhoek turnoff.,traffic,,,14:43,16:43,18.391936,-34.120749,423760.6132,02:00
67,,67,67,71,2016-01-08,05:14,05:14,07:00,Traffic lights at Christiaan Barnard-Sir Lowry are flashing. The department is attending to this.,traffic,1,,07:14,09:00,18.430323,-33.927247,423770.3014,01:46
68,,68,68,72,2016-01-08,05:16,05:16,09:45,Traffic lights at Otto du Plessis-Marine in Table View are flashing. The department is attending to this.,traffic,1,,07:16,11:45,18.476336,-33.82145,423770.3028,04:29
69,,69,69,73,2016-01-08,05:43,05:43,07:43,"There is an electrical fault affecting the Woodstock area ( Newmarket, Dorset & Vicinity) as of Yesterday. The department is attending.",electric,1,1,07:43,09:43,18.439193,-33.92788,423770.3215,02:00
70,,70,70,74,2016-01-08,05:45,00:00,02:00,"There is an electrical fault affecting the Vredehoek area ( Virginia,Upper Maynard & Vicinity) as of 02:00. The department is attending.",electric,,1,02:00,04:00,18.41974,-33.935596,423770.0833,02:00
71,,71,71,75,2016-01-08,07:36,07:36,09:36,There is an electrical fault affecting the Rondebosch East area ( Smal Street) as of Yesterday. The department is attending.,electric,1,1,09:36,11:36,18.494028,-33.979288,423770.4,02:00
72,,72,72,76,2016-01-08,07:37,06:52,08:52,There is an electrical fault affecting the Mannenberg area ( Irvin Street ) as of 08:52. The department is attending,electric,,1,08:52,10:52,18.552621,-33.979316,423770.3694,02:00
73,,73,73,77,2016-01-08,09:03,09:03,10:06,Traffic lights at La Belle-Winelands are flashing. The department is attending to this.,traffic,1,,11:03,12:06,18.672051,-33.895752,423770.4604,01:03
74,,74,74,78,2016-01-08,10:05,10:05,12:05,Traffic lights at Durbanville Ave-Pasita are flashing. The department is attending to this.,traffic,1,1,12:05,14:05,18.639188,-33.869188,423770.5035,02:00
75,,75,75,79,2016-01-08,12:08,12:08,14:08,Big Bay beach has been closed due to a spill on the boardwalk. The area is currently being cleaned.,traffic,1,1,14:08,16:08,18.456934,-33.792491,423770.5889,02:00
76,,76,76,80,2016-01-09,07:29,07:29,09:29,Traffic lights at Balvenie Ave - Norwood Rd are all out. The department is attending.,traffic,1,1,09:29,11:29,18.579694,-33.928875,423780.3951,02:00
77,,77,77,81,2016-01-09,07:34,07:34,08:09,Traffic lights at Koeberg Rd - Noble Rd in Sanddrift are flashing. The department is attending.,traffic,1,,09:34,10:09,18.497019,-33.88125,423780.3986,00:35
78,,78,78,82,2016-01-09,07:41,08:38,10:38,Traffic lights at Plattekloof Rd - Rothschild Blvd in Welgelegen are flashing. The department is attending.,traffic,,1,10:38,12:38,18.561859,-33.878486,423780.4431,02:00
79,,79,79,83,2016-01-09,15:03,06:30,14:00,Electrical Maintenance in Rondebosch Area ( Dulverton;Albion Oban & Vicinity) from 08:30?16:00.Contact 0860 103 089 for more info,electric,,,08:30,16:00,18.490048,-33.973268,423780.3542,07:30
80,,80,80,84,2016-01-09,15:03,14:00,16:00,Electrical Maintenance in Rondebosch Area ( Dulverton;Albion Oban & Vicinity) from 16:00.Contact 0860 103 089 for more info,electric,,1,16:00,18:00,18.490171,-33.973371,423780.6667,02:00
81,,81,81,85,2016-01-09,16:37,16:00,18:00,Electrical Maintenance in Goodwood ( Fisher road ) from 18:00.Contact 0860 103 089 for more info,electric,,1,18:00,20:00,18.553193,-33.907716,423780.75,02:00
82,,82,82,86,2016-01-10,10:53,10:53,12:53,Update: The fire on Table Mountain is under control and being attended to. Vehicles from the fire department are on the scene.,traffic,1,1,12:53,14:53,18.41742,-33.960333,423790.5368,02:00
83,,83,83,87,2016-01-11,04:17,04:17,06:58,Traffic lights at Meerlust St & Old Paarl Rd in Oakglen are flashing. The department is attending.,traffic,1,,06:17,08:58,18.663627,-33.890301,423800.2618,02:41
84,,84,84,88,2016-01-11,04:29,04:29,05:43,Traffic lights at Plattekloof Rd - Rothschild Blvd & Olienhout Ave in Welgelegen are flashing. The department is attending.,traffic,1,,06:29,07:43,18.578162,-33.874688,423800.2701,01:14
85,,85,85,89,2016-01-11,04:34,04:34,05:42,Traffic lights at Durban Rd - Bela Rosa St in Durbanville are flashing. The department is attending.,traffic,1,,06:34,07:42,18.639216,-33.869172,423800.2736,01:08
86,,86,86,90,2016-01-11,06:45,06:45,08:45,"Fire at Scarborough Main Rd, Scarborough Main Rd has been closed at Red Hill Rd, Slangkop and Kommetjie Rd.",traffic,1,1,08:45,10:45,18.346311,-34.143418,423800.3646,02:00
87,,87,87,91,2016-01-11,08:04,08:04,10:52,Traffic lights at Amandel Rd - Sandalwood Rd in Kuils River are flashing. The department is attending.,traffic,1,,10:04,12:52,18.688009,-33.917777,423800.4194,02:48
88,,88,88,92,2016-01-11,12:18,12:18,13:22,"Road closure on the N7 northbound before Potsdam, due to veld fire. Use alternative route.",traffic,1,,14:18,15:22,18.547642,-33.805131,423800.5958,01:04
89,,89,89,93,2016-01-11,12:37,12:37,14:37,"Update: Road closure on the N7 north between Plattekloof and Potsdam, due to veld fire. Both directions affected, use alternative route.",traffic,1,1,14:37,16:37,18.540683,-33.827527,423800.609,02:00
90,,90,90,94,2016-01-11,12:43,12:43,13:12,Traffic lights at Erica-Symphony are flashing. The department is attending to this.,traffic,1,,14:43,15:12,18.635318,-33.942015,423800.6132,00:29
91,,91,91,95,2016-01-11,13:12,13:12,14:41,Traffic lights at Montague-Dawn in Montague Gardens are flashing. The department is attending to this.,traffic,1,,15:12,16:41,18.519009,-33.855809,423800.6333,01:29
92,,92,92,96,2016-01-11,14:22,14:22,14:33,"Stationary vehicle on N2 outbound at airport approach. Center lane closed, expect delays.",traffic,1,,16:22,16:33,18.572131,-33.96588,423800.6819,00:11
